region,year,emission,population
Middle East & North Africa,1990,1687.27,439530.498
Middle East & North Africa,1991,1771.79,451197.295
Middle East & North Africa,1992,1817.2,462965.55
Middle East & North Africa,1993,1903.56,474751.093
Middle East & North Africa,1994,1981.94,486446.39
Middle East & North Africa,1995,2062.21,497981.88
Middle East & North Africa,1996,2142.38,509326.115
Middle East & North Africa,1997,2215.68,520521.014
Middle East & North Africa,1998,2250.78,531663.313
Middle East & North Africa,1999,2327.23,542891.264
Middle East & North Africa,2000,2420.54,554312.642
Middle East & North Africa,2001,2481.93,565956.701
Middle East & North Africa,2002,2579.99,577817.522
Middle East & North Africa,2003,2662.91,589924.779
Middle East & North Africa,2004,2796.47,602303.001
Middle East & North Africa,2005,2966.95,614968.962
Middle East & North Africa,2006,3143.73,627929.76
Middle East & North Africa,2007,3301.24,641184.408
Middle East & North Africa,2008,3442.44,654726.476
Middle East & North Africa,2009,3564.41,668542.897
Middle East & North Africa,2010,3681.2,682613.408
Middle East & North Africa,2011,3768.05,696934.453
Middle East & North Africa,2012,3918.83,711477.367
Middle East & North Africa,2013,3972.69,726163.019
Middle East & North Africa,2014,4107.69,740890.468
Middle East & North Africa,2015,4170.72,755580.938
Middle East & North Africa,2016,4267.71,770191.393
Middle East & North Africa,2017,4394.18,784715.875
Middle East & North Africa,2018,4441.9,799158.361
Europe,1990,9981.78,730231.878
Europe,1991,9740.89,732093.837
Europe,1992,9193.27,733593.062
Europe,1993,8718.33,734702.68
Europe,1994,8273.61,735401.467
Europe,1995,8196.81,735696.065
Europe,1996,8215.76,735558.691
Europe,1997,7977.67,735050.242
Europe,1998,7886.11,734377.971
Europe,1999,7800.38,733816.895
Europe,2000,7837.27,733569.499
Europe,2001,7920.56,733713.386
Europe,2002,7906.25,734212.569
Europe,2003,8119.0,735013.233
Europe,2004,8132.53,736012.772
Europe,2005,8084.22,737130.074
Europe,2006,8161.97,738360.211
Europe,2007,8130.02,739717.957
Europe,2008,8037.76,741160.88
Europe,2009,7492.6,742638.286
Europe,2010,7728.03,744108.45
Europe,2011,7689.51,745537.262
Europe,2012,7653.09,746911.119
Europe,2013,7510.0,748233.177
Europe,2014,7266.41,749517.958
Europe,2015,7209.24,750767.505
Europe,2016,7196.22,751986.09
Europe,2017,7194.56,753140.768
Europe,2018,7176.41,754153.328
Sub-Saharan Africa,1990,1205.02,499298.222
Sub-Saharan Africa,1991,1237.42,513445.143
Sub-Saharan Africa,1992,1267.19,527853.811
Sub-Saharan Africa,1993,1287.03,542512.43
Sub-Saharan Africa,1994,1367.38,557408.005
Sub-Saharan Africa,1995,1389.1,572538.937
Sub-Saharan Africa,1996,1411.45,587911.022
Sub-Saharan Africa,1997,1431.25,603551.025
Sub-Saharan Africa,1998,1469.72,619507.107
Sub-Saharan Africa,1999,1454.09,635841.521
Sub-Saharan Africa,2000,1468.89,652610.026
Sub-Saharan Africa,2001,1518.49,669833.919
Sub-Saharan Africa,2002,1581.55,687536.962
Sub-Saharan Africa,2003,1649.53,705779.404
Sub-Saharan Africa,2004,1702.89,724630.799
Sub-Saharan Africa,2005,1765.81,744144.222
Sub-Saharan Africa,2006,1772.34,764346.108
Sub-Saharan Africa,2007,1845.37,785239.369
Sub-Saharan Africa,2008,1915.86,806821.017
Sub-Saharan Africa,2009,1890.26,829075.866
Sub-Saharan Africa,2010,1987.19,851989.256
Sub-Saharan Africa,2011,2027.52,875560.611
Sub-Saharan Africa,2012,2083.41,899785.718
Sub-Saharan Africa,2013,2138.75,924637.972
Sub-Saharan Africa,2014,2188.58,950082.497
Sub-Saharan Africa,2015,2203.63,976088.835
Sub-Saharan Africa,2016,2253.94,1002647.028
Sub-Saharan Africa,2017,2281.78,1029745.196
