region,year,emission,population
Asia,1990,8270.11,2894547299
Asia,1991,8552.07,2942314022
Asia,1992,8757.02,2987667479
Asia,1993,9065.66,3031145028
Asia,1994,9347.6,3073630599
Asia,1995,9893.27,3115775282
Asia,1996,9841.4,3157697712
Asia,1997,10882.79,3199181754
Asia,1998,10209.35,3240158198
Asia,1999,10191.56,3280476868
Asia,2000,10480.45,3320039127
Asia,2001,10745.02,3358861274
Asia,2002,11658.95,3397038377
Asia,2003,12069.84,3434639971
Asia,2004,13388.62,3471755268
Asia,2005,13947.63,3508453993
Asia,2006,15188.64,3544753204
Asia,2007,15523.87,3580652386
Asia,2008,15934.09,3616178444
Asia,2009,16983.09,3651356345
Asia,2010,17777.21,3686196478
Asia,2011,18835.39,3720690711
Asia,2012,19423.17,3754812252
Asia,2013,19961.61,3788522683
Asia,2014,20502.53,3821770691
Asia,2015,20616.56,3854499766
Asia,2016,20408.22,3886689788
Asia,2017,20794.33,3918287904
Asia,2018,21501.11,3949163611
North America,1990,6587.28,363660371
North America,1991,6559.66,367996588
North America,1992,6660.34,372346011
North America,1993,6785.51,376761381
North America,1994,6922.62,381314151
North America,1995,6981.03,386046993
North America,1996,7198.06,390995702
North America,1997,7486.63,396122893
North America,1998,7574.33,401309651
North America,1999,7548.02,406391534
North America,2000,7745.35,411255315
North America,2001,7831.48,415842552
North America,2002,7697.02,420198854
North America,2003,7799.29,424441340
North America,2004,7879.47,428741955
North America,2005,7929.48,433219970
North America,2006,7843.35,437913094
North America,2007,7986.89,442766651
North America,2008,7815.56,447695768
North America,2009,7336.23,452574273
North America,2010,7601.66,457308634
North America,2011,7302.77,461875230
North America,2012,7055.1,466296549
North America,2013,7200.85,470580644
North America,2014,7219.25,474749280
North America,2015,7116.35,478819609
North America,2016,7106.65,482788721
North America,2017,7053.96,486650648
North America,2018,7253.05,490418168
Europe,1990,13490.7,1206941259
Europe,1991,13172.8,1210178212
Europe,1992,12481.13,1213058440
Europe,1993,11933.02,1215481929
Europe,1994,11471.58,1217329942
Europe,1995,11445.46,1218551820
Europe,1996,11585.22,1219072748
Europe,1997,11256.62,1219007319
Europe,1998,11132.1,1218729229
Europe,1999,10968.43,1218742991
Europe,2000,11006.19,1219411806
Europe,2001,10650.94,1220871209
Europe,2002,10618.56,1223024465
Europe,2003,10922.28,1225712544
Europe,2004,10931.77,1228671879
Europe,2005,10848.2,1231698042
Europe,2006,10922.86,1234761277
Europe,2007,10851.85,1237896222
Europe,2008,10675.96,1241034675
Europe,2009,9850.14,1244106006
Europe,2010,10166.64,1247054952
Europe,2011,9636.8,1249817949
Europe,2012,9540.94,1252376917
Europe,2013,9316.05,1254778843
Europe,2014,8930.85,1257103309
Europe,2015,8925.52,1259394978
Europe,2016,9730.37,1261679513
Europe,2017,9740.28,1263896962
Europe,2018,9656.67,1265905109
South America,1990,2889.36,295280413
South America,1991,2924.07,300706712
South America,1992,2954.41,306101384
South America,1993,2982.39,311470168
South America,1994,3018.56,316822699
South America,1995,3064.84,322162415
South America,1996,3119.03,327490753
South America,1997,3177.09,332794518
South America,1998,3218.53,338045103
South America,1999,3232.97,343204873
South America,2000,3221.74,348245834
South America,2001,3269.26,353160120
South America,2002,3314.31,357951721
South America,2003,3346.97,362619694
South America,2004,3439.61,367167087
South America,2005,3470.33,371598712
South America,2006,3475.95,375909952
South America,2007,3554.6,380105945
South America,2008,3579.24,384214546
South America,2009,3548.58,388272881
South America,2010,3691.56,392307797
South America,2011,2833.23,396330505
South America,2012,2903.58,400335073
South America,2013,2956.78,404310106
South America,2014,2996.89,408236233
South America,2015,2981.88,412098846
South America,2016,3023.09,415894121
South America,2017,3024.15,419625657
