standard,alternate
Tanzania,United Republic of Tanzania
North Korea,Dem. People's Republic of Korea
Russia,Russian Federation
Czech Republic,Czechia
Moldova,Republic of Moldova
Syria,Syrian Arab Republic
East Timor,Timor-Leste
East Timor,Timor L'este
Iran,Iran (Islamic Republic of)
Swaziland,Eswatini
Vietnam,Viet Nam
United States,United States of America
Laos,Lao People's Democratic Republic
Macedonia,North Macedonia
Republic of the Congo,Congo
Brunei,Brunei Darussalam
Bolivia,Bolivia (Plurinational State of)
Venezuela,Venezuela (Bolivarian Republic of)
South Korea,Republic of Korea
Taiwan,"China, Taiwan Province of China"
Vatican City,Holy See
