Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,98.92,97.3,95.37,93.73,84.62,74.8,66.75,58.65,44.91,36.96,31.54,24.88,21.04,17.4,16.52,16.78,16.09,13.49,15.08,16.91,16.1,15.34,14.44,13.48,13.27,13.46,13.63,15.1,15.18
Albania,CAIT,Total excluding LUCF,All GHG,MtCO₂e,10.08,10.29,9.72,9.85,9.93,9.44,9.24,9.63,9.13,8.85,8.79,9.05,9.0,9.1,9.31,9.25,8.82,8.19,8.22,7.89,6.67,6.42,7.15,7.43,7.67,6.83,6.89,8.95,11.31
Algeria,CAIT,Total excluding LUCF,All GHG,MtCO₂e,218.91,211.85,209.79,212.08,204.13,194.0,189.82,179.95,174.02,172.87,162.97,159.65,152.53,147.03,141.58,137.71,131.94,124.71,126.38,119.75,113.77,108.44,104.32,103.0,98.79,101.04,93.5,93.88,95.01
Andorra,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.59,0.59,0.59,0.58,0.58,0.59,0.6,0.6,0.63,0.62,0.64,0.64,0.64,0.66,0.64,0.61,0.6,0.59,0.59,0.57,0.54,0.51,0.49,0.46,0.44,0.44,0.43,0.43,0.43
Angola,CAIT,Total excluding LUCF,All GHG,MtCO₂e,79.73,87.18,91.24,90.62,88.98,88.41,84.93,86.04,84.12,79.69,76.08,74.85,68.08,67.23,67.74,65.37,55.61,51.73,49.59,48.77,49.41,46.68,46.48,48.46,44.1,43.95,43.17,42.84,42.18
Antigua and Barbuda,CAIT,Total excluding LUCF,All GHG,MtCO₂e,1.21,1.16,1.13,1.1,1.07,1.06,1.29,1.07,1.04,1.93,0.97,0.92,0.86,0.79,0.76,0.75,0.71,0.65,0.61,0.59,0.57,0.52,0.49,0.46,0.43,0.43,0.45,0.37,0.36
Argentina,CAIT,Total excluding LUCF,All GHG,MtCO₂e,365.65,367.32,366.37,362.56,356.1,358.18,348.94,344.8,334.59,328.57,347.61,343.55,330.12,315.57,310.99,295.74,274.15,277.33,284.59,283.17,278.48,274.4,272.5,260.58,260.0,254.92,252.41,248.01,243.03
Armenia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,9.36,9.28,9.51,9.26,9.26,9.3,9.36,8.38,7.75,7.9,8.99,8.44,7.77,7.35,6.62,6.23,5.81,6.14,6.02,5.67,6.18,6.26,5.65,6.71,6.11,8.63,14.82,24.94,24.31
Australia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,615.38,619.79,573.39,594.58,593.5,581.89,670.93,673.13,571.22,601.07,587.26,614.99,611.7,568.38,605.38,546.71,627.08,634.1,608.21,583.61,550.57,522.74,514.52,516.76,508.67,505.59,505.91,503.74,503.82
Austria,CAIT,Total excluding LUCF,All GHG,MtCO₂e,74.98,77.83,75.66,75.48,74.35,78.12,77.57,80.79,82.72,77.0,83.95,84.39,87.47,89.79,89.75,88.94,83.86,82.55,78.24,78.03,79.85,79.87,80.88,77.16,74.69,74.59,74.67,80.46,76.26
